,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
10,0.42,0.63,0.63,0.24,0.25,0.77,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",extraversion_average_majority
50,0.42,0.61,0.61,0.24,0.26,0.75,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
30,0.41,0.61,0.61,0.2,0.29,0.75,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extraversion_average_majority
40,0.41,0.61,0.61,0.2,0.27,0.75,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
29,0.4,0.6,0.6,0.22,0.25,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
36,0.39,0.6,0.6,0.23,0.18,0.75,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",extraversion_average_majority
20,0.39,0.59,0.59,0.2,0.22,0.74,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",extraversion_average_majority
19,0.39,0.59,0.59,0.16,0.28,0.74,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extraversion_average_majority
5,0.38,0.58,0.58,0.17,0.25,0.73,"{'C': 100, 'class_weight': 'balanced'}","('lemma',)",extraversion_average_majority
59,0.38,0.59,0.59,0.27,0.14,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
54,0.38,0.57,0.57,0.25,0.16,0.72,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
45,0.37,0.58,0.58,0.29,0.1,0.73,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
14,0.37,0.58,0.58,0.22,0.14,0.74,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",extraversion_average_majority
49,0.37,0.53,0.53,0.18,0.23,0.69,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
46,0.36,0.57,0.57,0.24,0.1,0.73,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",extraversion_average_majority
24,0.36,0.58,0.58,0.25,0.1,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",extraversion_average_majority
35,0.36,0.58,0.58,0.2,0.14,0.73,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
17,0.36,0.57,0.57,0.15,0.2,0.73,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",extraversion_average_majority
