,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
19,0.38,0.45,0.45,0.4,0.15,0.58,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extraversion_high_majority
14,0.37,0.47,0.47,0.41,0.1,0.61,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",extraversion_high_majority
43,0.37,0.45,0.45,0.41,0.12,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",extraversion_high_majority
46,0.37,0.45,0.45,0.39,0.13,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",extraversion_high_majority
24,0.37,0.46,0.46,0.43,0.1,0.59,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",extraversion_high_majority
30,0.37,0.45,0.45,0.38,0.14,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extraversion_high_majority
29,0.36,0.44,0.44,0.39,0.13,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extraversion_high_majority
10,0.36,0.44,0.44,0.39,0.13,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",extraversion_high_majority
59,0.36,0.46,0.46,0.37,0.11,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_high_majority
35,0.36,0.45,0.45,0.37,0.1,0.6,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extraversion_high_majority
50,0.35,0.43,0.43,0.38,0.1,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_high_majority
36,0.35,0.46,0.46,0.39,0.04,0.61,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",extraversion_high_majority
