,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
28,0.37,0.38,0.38,0.29,0.43,0.37,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",personality_a_majority
13,0.36,0.39,0.39,0.2,0.47,0.4,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu')",personality_a_majority
30,0.36,0.4,0.4,0.22,0.46,0.39,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",personality_a_majority
44,0.36,0.4,0.4,0.25,0.52,0.3,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",personality_a_majority
46,0.36,0.42,0.42,0.15,0.52,0.4,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",personality_a_majority
20,0.36,0.4,0.4,0.22,0.48,0.38,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",personality_a_majority
48,0.36,0.41,0.41,0.17,0.53,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
50,0.36,0.41,0.41,0.19,0.48,0.42,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
62,0.35,0.39,0.39,0.24,0.47,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
29,0.35,0.37,0.37,0.25,0.4,0.39,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",personality_a_majority
27,0.35,0.4,0.4,0.15,0.53,0.36,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",personality_a_majority
17,0.35,0.38,0.38,0.21,0.47,0.38,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",personality_a_majority
36,0.35,0.4,0.4,0.16,0.49,0.39,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",personality_a_majority
8,0.35,0.36,0.36,0.26,0.41,0.37,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",personality_a_majority
53,0.35,0.4,0.4,0.15,0.53,0.36,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",personality_a_majority
59,0.35,0.41,0.41,0.15,0.51,0.39,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
49,0.34,0.38,0.38,0.2,0.46,0.36,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",personality_a_majority
18,0.34,0.38,0.38,0.19,0.49,0.33,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",personality_a_majority
9,0.34,0.36,0.36,0.24,0.4,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",personality_a_majority
54,0.34,0.39,0.39,0.17,0.48,0.36,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
55,0.34,0.37,0.37,0.21,0.46,0.34,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
14,0.34,0.37,0.37,0.2,0.44,0.36,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'lemma')",personality_a_majority
32,0.34,0.38,0.38,0.18,0.49,0.34,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",personality_a_majority
40,0.34,0.38,0.38,0.18,0.46,0.38,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
5,0.34,0.36,0.36,0.26,0.41,0.36,"{'C': 1, 'class_weight': 'balanced'}","('lemma',)",personality_a_majority
58,0.34,0.38,0.38,0.21,0.48,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",personality_a_majority
47,0.34,0.36,0.36,0.27,0.42,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",personality_a_majority
37,0.33,0.35,0.35,0.2,0.45,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",personality_a_majority
60,0.33,0.37,0.37,0.21,0.47,0.32,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
39,0.33,0.37,0.37,0.21,0.45,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",personality_a_majority
51,0.33,0.37,0.37,0.17,0.48,0.33,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",personality_a_majority
41,0.33,0.36,0.36,0.22,0.45,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",personality_a_majority
56,0.33,0.36,0.36,0.22,0.44,0.33,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",personality_a_majority
35,0.33,0.36,0.36,0.21,0.41,0.38,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",personality_a_majority
45,0.33,0.37,0.37,0.17,0.44,0.37,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",personality_a_majority
0,0.33,0.35,0.35,0.24,0.42,0.31,"{'C': 10, 'class_weight': 'balanced'}","('liwc',)",personality_a_majority
19,0.33,0.35,0.35,0.24,0.38,0.36,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",personality_a_majority
26,0.33,0.35,0.35,0.26,0.42,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",personality_a_majority
4,0.33,0.36,0.36,0.24,0.41,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('adu',)",personality_a_majority
10,0.33,0.36,0.36,0.2,0.4,0.39,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'lemma')",personality_a_majority
21,0.33,0.36,0.36,0.2,0.45,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",personality_a_majority
34,0.32,0.36,0.36,0.12,0.44,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",personality_a_majority
61,0.32,0.38,0.38,0.13,0.47,0.36,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
3,0.32,0.36,0.36,0.2,0.4,0.37,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg',)",personality_a_majority
57,0.32,0.36,0.36,0.14,0.45,0.37,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
6,0.32,0.36,0.36,0.2,0.47,0.3,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc')",personality_a_majority
11,0.32,0.35,0.35,0.16,0.46,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",personality_a_majority
52,0.32,0.36,0.36,0.17,0.43,0.35,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
31,0.32,0.36,0.36,0.17,0.46,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",personality_a_majority
22,0.32,0.36,0.36,0.17,0.46,0.32,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",personality_a_majority
23,0.32,0.37,0.37,0.17,0.48,0.31,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",personality_a_majority
43,0.32,0.36,0.36,0.17,0.43,0.36,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",personality_a_majority
25,0.32,0.35,0.35,0.21,0.44,0.31,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",personality_a_majority
1,0.32,0.36,0.36,0.16,0.47,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc',)",personality_a_majority
24,0.31,0.35,0.35,0.17,0.44,0.34,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",personality_a_majority
42,0.31,0.34,0.34,0.17,0.44,0.32,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",personality_a_majority
16,0.31,0.34,0.34,0.19,0.44,0.3,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",personality_a_majority
33,0.3,0.33,0.33,0.19,0.43,0.27,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",personality_a_majority
12,0.3,0.33,0.33,0.13,0.4,0.37,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",personality_a_majority
7,0.29,0.31,0.31,0.2,0.38,0.29,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",personality_a_majority
38,0.29,0.32,0.32,0.2,0.37,0.31,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
15,0.27,0.28,0.28,0.19,0.32,0.31,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",personality_a_majority
2,0.27,0.28,0.28,0.2,0.36,0.26,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg',)",personality_a_majority
