,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
10,0.44,0.53,0.53,0.45,0.2,0.65,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",conscientiousness_low_majority
61,0.42,0.5,0.5,0.4,0.23,0.62,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
60,0.42,0.52,0.52,0.44,0.19,0.64,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
24,0.42,0.53,0.53,0.45,0.15,0.66,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",conscientiousness_low_majority
54,0.42,0.53,0.53,0.44,0.18,0.66,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
20,0.41,0.5,0.5,0.41,0.19,0.63,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",conscientiousness_low_majority
58,0.41,0.51,0.51,0.4,0.18,0.65,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",conscientiousness_low_majority
48,0.41,0.52,0.52,0.42,0.16,0.65,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
30,0.41,0.51,0.51,0.41,0.21,0.62,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",conscientiousness_low_majority
45,0.41,0.5,0.5,0.5,0.14,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
50,0.4,0.48,0.48,0.44,0.17,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
46,0.4,0.49,0.49,0.48,0.13,0.61,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",conscientiousness_low_majority
36,0.4,0.5,0.5,0.42,0.16,0.62,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",conscientiousness_low_majority
43,0.4,0.49,0.49,0.42,0.19,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",conscientiousness_low_majority
5,0.4,0.47,0.47,0.42,0.2,0.59,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",conscientiousness_low_majority
27,0.39,0.5,0.5,0.39,0.16,0.63,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",conscientiousness_low_majority
19,0.39,0.46,0.46,0.41,0.18,0.59,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",conscientiousness_low_majority
35,0.39,0.51,0.51,0.41,0.1,0.66,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
29,0.39,0.47,0.47,0.43,0.12,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
0,0.39,0.42,0.42,0.5,0.23,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",conscientiousness_low_majority
28,0.38,0.41,0.41,0.47,0.24,0.45,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",conscientiousness_low_majority
17,0.38,0.46,0.46,0.35,0.2,0.59,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",conscientiousness_low_majority
14,0.38,0.5,0.5,0.38,0.1,0.66,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",conscientiousness_low_majority
57,0.38,0.49,0.49,0.41,0.1,0.62,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
40,0.37,0.45,0.45,0.36,0.15,0.59,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
49,0.37,0.46,0.46,0.34,0.17,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",conscientiousness_low_majority
55,0.36,0.47,0.47,0.37,0.1,0.62,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
59,0.36,0.44,0.44,0.42,0.07,0.58,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
38,0.36,0.47,0.47,0.41,0.05,0.62,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_low_majority
21,0.35,0.44,0.44,0.43,0.09,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",conscientiousness_low_majority
7,0.35,0.39,0.39,0.43,0.18,0.44,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",conscientiousness_low_majority
41,0.35,0.43,0.43,0.43,0.09,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",conscientiousness_low_majority
23,0.35,0.41,0.41,0.45,0.12,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",conscientiousness_low_majority
39,0.35,0.43,0.43,0.35,0.13,0.57,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",conscientiousness_low_majority
22,0.35,0.41,0.41,0.5,0.11,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",conscientiousness_low_majority
18,0.35,0.43,0.43,0.38,0.13,0.55,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",conscientiousness_low_majority
44,0.34,0.39,0.39,0.44,0.1,0.47,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",conscientiousness_low_majority
62,0.34,0.42,0.42,0.31,0.15,0.57,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_low_majority
33,0.34,0.45,0.45,0.35,0.11,0.57,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",conscientiousness_low_majority
6,0.34,0.39,0.39,0.47,0.11,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc')",conscientiousness_low_majority
8,0.34,0.39,0.39,0.43,0.11,0.46,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",conscientiousness_low_majority
9,0.34,0.38,0.38,0.43,0.13,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",conscientiousness_low_majority
56,0.33,0.41,0.41,0.36,0.11,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_low_majority
25,0.32,0.39,0.39,0.36,0.08,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",conscientiousness_low_majority
12,0.31,0.37,0.37,0.38,0.07,0.47,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",conscientiousness_low_majority
42,0.31,0.38,0.38,0.31,0.11,0.52,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",conscientiousness_low_majority
26,0.31,0.37,0.37,0.31,0.13,0.49,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",conscientiousness_low_majority
13,0.31,0.38,0.38,0.4,0.07,0.48,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu')",conscientiousness_low_majority
47,0.3,0.35,0.35,0.31,0.14,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_low_majority
1,0.29,0.34,0.34,0.31,0.1,0.44,"{'C': 1, 'class_weight': 'balanced'}","('nrc',)",conscientiousness_low_majority
34,0.29,0.33,0.33,0.36,0.1,0.4,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",conscientiousness_low_majority
11,0.28,0.34,0.34,0.33,0.03,0.47,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",conscientiousness_low_majority
2,0.28,0.33,0.33,0.3,0.09,0.46,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",conscientiousness_low_majority
