,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
39,0.36,0.48,0.48,0.17,0.27,0.62,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",personality_b_majority
6,0.36,0.45,0.45,0.17,0.35,0.56,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc')",personality_b_majority
48,0.36,0.47,0.47,0.15,0.33,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_b_majority
43,0.35,0.46,0.46,0.17,0.27,0.59,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",personality_b_majority
42,0.35,0.44,0.44,0.17,0.31,0.58,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",personality_b_majority
27,0.35,0.47,0.47,0.15,0.28,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",personality_b_majority
57,0.35,0.47,0.47,0.17,0.28,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_b_majority
58,0.35,0.47,0.47,0.18,0.27,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",personality_b_majority
59,0.35,0.46,0.46,0.18,0.27,0.6,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
41,0.34,0.43,0.43,0.14,0.3,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",personality_b_majority
17,0.34,0.48,0.48,0.11,0.29,0.62,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",personality_b_majority
29,0.34,0.45,0.45,0.14,0.29,0.59,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",personality_b_majority
24,0.34,0.45,0.45,0.16,0.27,0.58,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",personality_b_majority
21,0.34,0.44,0.44,0.15,0.31,0.58,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",personality_b_majority
45,0.34,0.45,0.45,0.18,0.26,0.59,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",personality_b_majority
30,0.34,0.45,0.45,0.15,0.27,0.59,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",personality_b_majority
46,0.34,0.45,0.45,0.19,0.25,0.58,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",personality_b_majority
62,0.34,0.46,0.46,0.17,0.25,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
49,0.34,0.47,0.47,0.16,0.25,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",personality_b_majority
50,0.34,0.45,0.45,0.14,0.29,0.59,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
11,0.34,0.39,0.39,0.15,0.36,0.5,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",personality_b_majority
56,0.34,0.43,0.43,0.15,0.31,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",personality_b_majority
60,0.34,0.46,0.46,0.14,0.26,0.61,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
38,0.33,0.48,0.48,0.13,0.24,0.63,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_b_majority
