,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
40,0.38,0.42,0.42,0.22,0.52,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
35,0.38,0.4,0.4,0.28,0.48,0.38,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",personality_a_majority
5,0.38,0.41,0.41,0.27,0.48,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('lemma',)",personality_a_majority
59,0.38,0.4,0.4,0.25,0.46,0.42,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
46,0.37,0.39,0.39,0.25,0.44,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",personality_a_majority
54,0.37,0.41,0.41,0.21,0.49,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
14,0.37,0.4,0.4,0.25,0.49,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'lemma')",personality_a_majority
29,0.37,0.39,0.39,0.27,0.45,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",personality_a_majority
58,0.37,0.42,0.42,0.18,0.52,0.42,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",personality_a_majority
19,0.37,0.39,0.39,0.25,0.46,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",personality_a_majority
18,0.36,0.4,0.4,0.25,0.49,0.35,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",personality_a_majority
30,0.36,0.41,0.41,0.16,0.52,0.38,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",personality_a_majority
33,0.36,0.41,0.41,0.15,0.49,0.44,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",personality_a_majority
24,0.36,0.38,0.38,0.27,0.44,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",personality_a_majority
49,0.36,0.41,0.41,0.16,0.52,0.4,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",personality_a_majority
38,0.36,0.41,0.41,0.23,0.53,0.33,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
39,0.36,0.4,0.4,0.17,0.51,0.39,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",personality_a_majority
62,0.36,0.39,0.39,0.23,0.45,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
57,0.36,0.38,0.38,0.26,0.45,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_a_majority
61,0.36,0.41,0.41,0.14,0.51,0.42,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
3,0.36,0.43,0.43,0.21,0.54,0.33,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg',)",personality_a_majority
13,0.36,0.39,0.39,0.23,0.46,0.39,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu')",personality_a_majority
4,0.36,0.4,0.4,0.25,0.49,0.34,"{'C': 10, 'class_weight': 'balanced'}","('adu',)",personality_a_majority
60,0.36,0.41,0.41,0.16,0.51,0.41,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_a_majority
10,0.36,0.38,0.38,0.27,0.44,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'lemma')",personality_a_majority
27,0.35,0.41,0.41,0.14,0.53,0.38,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",personality_a_majority
45,0.35,0.37,0.37,0.27,0.45,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",personality_a_majority
