,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
14,0.42,0.6,0.6,0.25,0.27,0.74,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",extraversion_average_majority
36,0.41,0.59,0.59,0.28,0.21,0.73,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",extraversion_average_majority
40,0.39,0.59,0.59,0.21,0.22,0.73,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
35,0.39,0.58,0.58,0.19,0.25,0.73,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
53,0.38,0.56,0.56,0.23,0.22,0.71,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
29,0.38,0.58,0.58,0.2,0.23,0.72,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
39,0.38,0.61,0.61,0.18,0.2,0.76,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
55,0.38,0.6,0.6,0.18,0.2,0.75,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
33,0.37,0.48,0.48,0.21,0.27,0.62,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",extraversion_average_majority
54,0.37,0.57,0.57,0.17,0.24,0.71,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
27,0.37,0.59,0.59,0.16,0.21,0.73,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",extraversion_average_majority
5,0.37,0.5,0.5,0.18,0.27,0.65,"{'C': 0.1, 'class_weight': 'balanced'}","('lemma',)",extraversion_average_majority
52,0.36,0.48,0.48,0.22,0.26,0.61,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
61,0.36,0.55,0.55,0.16,0.22,0.7,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
19,0.36,0.49,0.49,0.18,0.24,0.65,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extraversion_average_majority
38,0.35,0.5,0.5,0.18,0.22,0.65,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
20,0.35,0.47,0.47,0.14,0.27,0.63,"{'C': 0.1, 'class_weight': 'balanced'}","('adu', 'lemma')",extraversion_average_majority
17,0.35,0.51,0.51,0.18,0.22,0.66,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",extraversion_average_majority
45,0.34,0.58,0.58,0.15,0.11,0.74,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
30,0.34,0.59,0.59,0.16,0.11,0.74,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extraversion_average_majority
59,0.34,0.59,0.59,0.2,0.08,0.74,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
62,0.34,0.61,0.61,0.19,0.08,0.76,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
49,0.33,0.57,0.57,0.18,0.08,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
50,0.33,0.57,0.57,0.15,0.12,0.72,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
58,0.33,0.62,0.62,0.15,0.08,0.77,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
60,0.33,0.57,0.57,0.18,0.08,0.73,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
48,0.32,0.6,0.6,0.12,0.09,0.76,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
46,0.32,0.59,0.59,0.12,0.08,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",extraversion_average_majority
43,0.32,0.6,0.6,0.14,0.08,0.76,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",extraversion_average_majority
24,0.32,0.58,0.58,0.15,0.08,0.74,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",extraversion_average_majority
42,0.32,0.42,0.42,0.19,0.21,0.56,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",extraversion_average_majority
10,0.32,0.57,0.57,0.16,0.08,0.72,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",extraversion_average_majority
56,0.32,0.43,0.43,0.19,0.21,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extraversion_average_majority
57,0.32,0.59,0.59,0.13,0.08,0.75,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
0,0.31,0.42,0.42,0.17,0.18,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc',)",extraversion_average_majority
9,0.31,0.42,0.42,0.16,0.2,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'adu')",extraversion_average_majority
8,0.3,0.43,0.43,0.14,0.19,0.59,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",extraversion_average_majority
26,0.3,0.42,0.42,0.16,0.14,0.59,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",extraversion_average_majority
21,0.3,0.41,0.41,0.16,0.19,0.55,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",extraversion_average_majority
22,0.29,0.38,0.38,0.18,0.18,0.52,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",extraversion_average_majority
28,0.29,0.41,0.41,0.14,0.18,0.56,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",extraversion_average_majority
25,0.29,0.41,0.41,0.15,0.16,0.57,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",extraversion_average_majority
7,0.28,0.4,0.4,0.12,0.16,0.56,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",extraversion_average_majority
6,0.28,0.39,0.39,0.12,0.16,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc')",extraversion_average_majority
47,0.28,0.39,0.39,0.13,0.18,0.55,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extraversion_average_majority
44,0.28,0.36,0.36,0.16,0.2,0.49,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",extraversion_average_majority
23,0.28,0.37,0.37,0.16,0.2,0.5,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",extraversion_average_majority
41,0.28,0.4,0.4,0.14,0.16,0.55,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",extraversion_average_majority
18,0.27,0.34,0.34,0.18,0.17,0.46,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",extraversion_average_majority
32,0.27,0.34,0.34,0.2,0.14,0.47,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",extraversion_average_majority
1,0.27,0.34,0.34,0.14,0.2,0.46,"{'C': 100, 'class_weight': 'balanced'}","('nrc',)",extraversion_average_majority
4,0.27,0.38,0.38,0.19,0.08,0.54,"{'C': 100, 'class_weight': 'balanced'}","('adu',)",extraversion_average_majority
34,0.26,0.33,0.33,0.18,0.16,0.46,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",extraversion_average_majority
16,0.26,0.36,0.36,0.1,0.18,0.51,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",extraversion_average_majority
13,0.26,0.34,0.34,0.14,0.17,0.47,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu')",extraversion_average_majority
51,0.26,0.34,0.34,0.2,0.12,0.46,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extraversion_average_majority
37,0.26,0.35,0.35,0.07,0.2,0.5,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",extraversion_average_majority
15,0.25,0.36,0.36,0.08,0.15,0.53,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",extraversion_average_majority
2,0.25,0.35,0.35,0.05,0.17,0.52,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",extraversion_average_majority
12,0.24,0.3,0.3,0.11,0.19,0.41,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",extraversion_average_majority
3,0.24,0.32,0.32,0.14,0.15,0.45,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg',)",extraversion_average_majority
11,0.22,0.27,0.27,0.19,0.12,0.36,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",extraversion_average_majority
