sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('reinforcing', 'no_effect');('reinforcing', 'no_effect');('reinforcing', 'challenging');('reinforcing', 'challenging');('no_effect', 'challenging');('no_effect', 'challenging')
liwc_scores_analytic;False;False;0.1994328984759044;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.15676142072818497;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.7416886649456804;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.35694285007939963;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.9746411280717794;False;;;False;;False;;False;
liwc_scores_categories_Comma;False;False;0.35759176675754656;False;;;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.009657262614641518;True;;;False;;True;-0.21;False;
liwc_scores_categories_Exclam;False;False;0.5083543621492528;False;;;False;;False;;False;
liwc_scores_categories_OtherP;False;False;0.4660268415082607;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.8352353949514706;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.1462189252653668;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.15462815330153515;False;;;False;;False;;False;
liwc_scores_categories_Quote;False;False;0.824877643322236;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.6405192053998154;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.8823880499081801;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.5792947255052219;False;;F(2,361)= 0.55, p = 0.5792947, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_adverb;True;True;0.010730426015583135;True;low;F(2,361)= 4.59, p = 0.0107304, ω2 = 0.02;True;-0.12;True;-0.17;False;
liwc_scores_categories_affect;False;False;0.15159353824846528;False;;;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.0917411826777909;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.272466612118104;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.1133829443230686;False;;;False;;False;;False;
