,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
30,0.41,0.43,0.43,0.3,0.45,0.48,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",agreeableness_low_majority
9,0.39,0.41,0.41,0.27,0.43,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",agreeableness_low_majority
29,0.38,0.42,0.42,0.22,0.44,0.5,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",agreeableness_low_majority
28,0.38,0.41,0.41,0.22,0.45,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",agreeableness_low_majority
20,0.37,0.4,0.4,0.25,0.42,0.45,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",agreeableness_low_majority
4,0.37,0.39,0.39,0.25,0.43,0.44,"{'C': 0.1, 'class_weight': 'balanced'}","('adu',)",agreeableness_low_majority
39,0.37,0.38,0.38,0.28,0.42,0.4,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",agreeableness_low_majority
27,0.37,0.38,0.38,0.3,0.39,0.41,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",agreeableness_low_majority
18,0.36,0.38,0.38,0.22,0.43,0.43,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",agreeableness_low_majority
10,0.36,0.39,0.39,0.25,0.38,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'lemma')",agreeableness_low_majority
50,0.36,0.39,0.39,0.18,0.43,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_low_majority
0,0.35,0.37,0.37,0.21,0.42,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",agreeableness_low_majority
19,0.35,0.38,0.38,0.25,0.36,0.46,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",agreeableness_low_majority
16,0.35,0.37,0.37,0.25,0.5,0.3,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",agreeableness_low_majority
26,0.35,0.36,0.36,0.25,0.45,0.33,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",agreeableness_low_majority
8,0.35,0.37,0.37,0.17,0.42,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",agreeableness_low_majority
37,0.35,0.38,0.38,0.19,0.46,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_low_majority
40,0.35,0.38,0.38,0.21,0.42,0.42,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",agreeableness_low_majority
47,0.35,0.38,0.38,0.19,0.47,0.4,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_low_majority
53,0.34,0.38,0.38,0.16,0.41,0.44,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",agreeableness_low_majority
48,0.34,0.36,0.36,0.25,0.36,0.4,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",agreeableness_low_majority
