sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('reinforcing', 'no_effect');('reinforcing', 'no_effect');('reinforcing', 'challenging');('reinforcing', 'challenging');('no_effect', 'challenging');('no_effect', 'challenging')
liwc_scores_analytic;False;False;0.8100913990792352;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.9468152478444071;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.971608015850697;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.6275110969251039;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.3824440019310364;False;;;False;;False;;False;
liwc_scores_categories_Comma;True;True;0.9407679729003728;False;;F(2,195)= 0.06, p = 0.9407680, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.24016753046832093;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.7514772930768576;False;;;False;;False;;same values;same values
liwc_scores_categories_OtherP;False;False;0.5732699931229288;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.7310428327801111;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.7546123075363308;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.15390719900694574;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.24508544921516562;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.7883181280462346;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.7997580689191987;False;;F(2,195)= 0.22, p = 0.7997581, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_adverb;False;False;0.6915605815719205;False;;;False;;False;;False;
liwc_scores_categories_affect;True;True;0.46447915594190703;False;;F(2,195)= 0.77, p = 0.4644792, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.7335727392195652;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.6453810858171448;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.2186463156163221;False;;;False;;False;;False;
liwc_scores_categories_article;True;True;0.9762968338877986;False;;F(2,195)= 0.02, p = 0.9762968, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_assent;False;False;0.6913391852628252;False;;;False;;False;;False;
liwc_scores_categories_auxverb;True;True;0.6044613739323851;False;;F(2,195)= 0.50, p = 0.6044614, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_bio;False;False;0.5710446471077179;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.7685842809670045;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.5316783780210106;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.3727393858351785;False;;;False;;False;;False;
liwc_scores_categories_cogproc;True;True;0.053150625892680436;False;;F(2,195)= 2.98, p = 0.0531506, ω2 = 0.02;False;;False;;False;
liwc_scores_categories_compare;False;False;0.6117363472848102;False;;;False;;False;;False;
liwc_scores_categories_conj;True;True;0.590799396918155;False;;F(2,195)= 0.53, p = 0.5907994, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_death;False;False;0.5333378274453551;False;;;False;;False;;False;
liwc_scores_categories_differ;False;False;0.004291015686501658;True;;;True;-0.23;False;;True;0.36
liwc_scores_categories_discrep;True;True;0.03405288666621437;True;low;F(2,195)= 3.44, p = 0.0340529, ω2 = 0.02;True;-0.18;False;;False;
liwc_scores_categories_drives;True;True;0.8717623630554157;False;;F(2,195)= 0.14, p = 0.8717624, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_family;False;False;0.09048376137763726;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.5390532098894543;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.05728746851894173;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.8438998576300272;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.844900037583224;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.44639248613917637;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.7087532191522925;False;;F(2,195)= 0.34, p = 0.7087532, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_friend;False;False;0.41813397144500253;False;;;False;;False;;False;
liwc_scores_categories_function;True;False;0.9968982315972768;False;;;False;;False;;False;
liwc_scores_categories_health;False;False;0.7547173328782036;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.5967500325780251;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.39753440216924635;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.6526193739926424;False;;;False;;False;;False;
liwc_scores_categories_informal;False;False;0.721903897235334;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.8989640253376535;False;;;False;;False;;False;
liwc_scores_categories_insight;False;False;0.9017552458068115;False;;;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.9640619541209748;False;;;False;;False;;False;
liwc_scores_categories_ipron;True;True;0.6515454594840684;False;;F(2,195)= 0.43, p = 0.6515455, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.6422478076118119;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.8590759866829425;False;;;False;;False;;False;
liwc_scores_categories_money;False;False;0.2951235043882065;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.4808329925350555;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.6976957982772071;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.1349317873504505;False;;;False;;False;;False;
liwc_scores_categories_netspeak;False;False;0.8758155924712206;False;;;False;;False;;False;
liwc_scores_categories_nonflu;False;False;0.3924365586056265;False;;;False;;False;;False;
liwc_scores_categories_number;False;False;0.39700199298963706;False;;;False;;False;;False;
liwc_scores_categories_percept;False;False;0.34815820778467865;False;;;False;;False;;False;
liwc_scores_categories_posemo;False;False;0.5374423982218133;False;;;False;;False;;False;
liwc_scores_categories_power;True;True;0.9775531941153356;False;;F(2,195)= 0.02, p = 0.9775532, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_ppron;False;False;0.9661210630992393;False;;;False;;False;;False;
liwc_scores_categories_prep;True;True;0.6112397475006198;False;;F(2,195)= 0.49, p = 0.6112397, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_pronoun;True;False;0.9630305500224678;False;;;False;;False;;False;
liwc_scores_categories_quant;False;False;0.5543357606003972;False;;;False;;False;;False;
liwc_scores_categories_relativ;True;True;0.7746210948241478;False;;F(2,195)= 0.26, p = 0.7746211, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_relig;False;False;0.18156461423751155;False;;;False;;False;;False;
liwc_scores_categories_reward;False;False;0.536413959616233;False;;;False;;False;;False;
liwc_scores_categories_risk;False;False;0.6726378644858899;False;;;False;;False;;False;
liwc_scores_categories_sad;False;False;0.7512503022845994;False;;;False;;False;;False;
liwc_scores_categories_see;False;False;0.6447525441103732;False;;;False;;False;;False;
liwc_scores_categories_sexual;False;False;0.7432074338535686;False;;;False;;False;;False;
liwc_scores_categories_shehe;False;False;0.8986718035313479;False;;;False;;False;;False;
liwc_scores_categories_social;False;False;0.642404524346375;False;;;False;;False;;False;
liwc_scores_categories_space;False;False;0.6429524133021653;False;;;False;;False;;False;
liwc_scores_categories_swear;False;False;0.7699957633723112;False;;;False;;False;;False;
liwc_scores_categories_tentat;False;False;0.0010360288480250122;True;;;True;-0.29;False;;True;0.33
liwc_scores_categories_they;False;False;0.7389005699741175;False;;;False;;False;;False;
liwc_scores_categories_time;False;False;0.6667065758054105;False;;;False;;False;;False;
liwc_scores_categories_verb;True;True;0.8192123560724904;False;;F(2,195)= 0.20, p = 0.8192124, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_we;False;False;0.9707052052596613;False;;;False;;False;;False;
liwc_scores_categories_work;False;False;0.27819189647545645;False;;;False;;False;;False;
liwc_scores_categories_you;False;False;0.43844518908851027;False;;;False;;False;;False;
liwc_scores_clout;True;True;0.17464585818436848;False;;F(2,195)= 1.76, p = 0.1746459, ω2 = 0.01;False;;False;;False;
liwc_scores_dic;True;True;0.439294804340558;False;;F(2,195)= 0.83, p = 0.4392948, ω2 = -0.00;False;;False;;False;
