,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
17,0.4,0.44,0.44,0.23,0.46,0.52,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",lean_majority
55,0.4,0.44,0.44,0.23,0.4,0.56,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
30,0.39,0.45,0.45,0.17,0.46,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",lean_majority
29,0.39,0.43,0.43,0.22,0.41,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",lean_majority
36,0.39,0.43,0.43,0.24,0.4,0.53,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",lean_majority
50,0.39,0.44,0.44,0.19,0.43,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
59,0.38,0.43,0.43,0.18,0.4,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
45,0.38,0.44,0.44,0.17,0.41,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",lean_majority
39,0.38,0.42,0.42,0.2,0.43,0.51,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",lean_majority
54,0.38,0.43,0.43,0.19,0.42,0.55,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
53,0.38,0.41,0.41,0.22,0.4,0.51,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",lean_majority
38,0.37,0.42,0.42,0.18,0.4,0.54,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",lean_majority
58,0.37,0.42,0.42,0.18,0.38,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",lean_majority
33,0.37,0.42,0.42,0.19,0.38,0.55,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",lean_majority
46,0.37,0.42,0.42,0.15,0.41,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",lean_majority
52,0.37,0.42,0.42,0.16,0.42,0.53,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",lean_majority
24,0.36,0.41,0.41,0.16,0.39,0.53,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",lean_majority
62,0.36,0.41,0.41,0.18,0.36,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
61,0.36,0.4,0.4,0.18,0.4,0.5,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",lean_majority
40,0.36,0.42,0.42,0.16,0.39,0.54,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",lean_majority
14,0.36,0.41,0.41,0.15,0.4,0.53,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'lemma')",lean_majority
20,0.35,0.4,0.4,0.12,0.44,0.5,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",lean_majority
43,0.35,0.38,0.38,0.23,0.35,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",lean_majority
57,0.35,0.39,0.39,0.18,0.37,0.49,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",lean_majority
37,0.35,0.38,0.38,0.21,0.34,0.49,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",lean_majority
35,0.34,0.39,0.39,0.13,0.36,0.52,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",lean_majority
5,0.34,0.38,0.38,0.16,0.38,0.49,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",lean_majority
34,0.33,0.37,0.37,0.18,0.39,0.43,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",lean_majority
44,0.33,0.36,0.36,0.21,0.35,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",lean_majority
21,0.33,0.35,0.35,0.2,0.36,0.43,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",lean_majority
28,0.33,0.36,0.36,0.2,0.33,0.46,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",lean_majority
19,0.33,0.38,0.38,0.1,0.37,0.52,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",lean_majority
16,0.33,0.39,0.39,0.15,0.32,0.53,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",lean_majority
