,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
21,0.37,0.45,0.45,0.18,0.34,0.58,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",personality_b_majority
22,0.36,0.45,0.45,0.19,0.32,0.58,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",personality_b_majority
39,0.36,0.53,0.53,0.13,0.27,0.68,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",personality_b_majority
48,0.36,0.51,0.51,0.18,0.26,0.65,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",personality_b_majority
55,0.35,0.54,0.54,0.13,0.23,0.68,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
49,0.35,0.49,0.49,0.15,0.25,0.64,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",personality_b_majority
29,0.35,0.51,0.51,0.15,0.24,0.65,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",personality_b_majority
27,0.35,0.48,0.48,0.17,0.24,0.63,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",personality_b_majority
17,0.35,0.51,0.51,0.12,0.27,0.65,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",personality_b_majority
42,0.34,0.42,0.42,0.17,0.32,0.55,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",personality_b_majority
46,0.34,0.47,0.47,0.15,0.27,0.61,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",personality_b_majority
26,0.34,0.42,0.42,0.19,0.29,0.54,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",personality_b_majority
44,0.34,0.43,0.43,0.16,0.29,0.56,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",personality_b_majority
7,0.34,0.44,0.44,0.15,0.29,0.57,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",personality_b_majority
60,0.34,0.53,0.53,0.08,0.25,0.68,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",personality_b_majority
58,0.34,0.49,0.49,0.19,0.19,0.65,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",personality_b_majority
6,0.34,0.43,0.43,0.16,0.29,0.57,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc')",personality_b_majority
14,0.33,0.49,0.49,0.12,0.22,0.66,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",personality_b_majority
41,0.33,0.42,0.42,0.14,0.31,0.55,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",personality_b_majority
