,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
30,0.4,0.43,0.43,0.31,0.34,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",openness_average_majority
5,0.4,0.44,0.44,0.28,0.38,0.54,"{'C': 1, 'class_weight': 'balanced'}","('lemma',)",openness_average_majority
39,0.4,0.44,0.44,0.27,0.35,0.57,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",openness_average_majority
14,0.4,0.44,0.44,0.31,0.32,0.56,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'lemma')",openness_average_majority
20,0.39,0.43,0.43,0.28,0.34,0.54,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",openness_average_majority
45,0.39,0.43,0.43,0.27,0.34,0.55,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",openness_average_majority
29,0.39,0.42,0.42,0.32,0.33,0.52,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",openness_average_majority
55,0.39,0.44,0.44,0.25,0.35,0.57,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
24,0.38,0.42,0.42,0.29,0.32,0.54,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",openness_average_majority
50,0.38,0.42,0.42,0.29,0.35,0.52,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
40,0.38,0.42,0.42,0.27,0.34,0.53,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
44,0.37,0.4,0.4,0.26,0.35,0.49,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",openness_average_majority
35,0.37,0.4,0.4,0.31,0.3,0.5,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",openness_average_majority
19,0.37,0.41,0.41,0.25,0.35,0.52,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",openness_average_majority
57,0.37,0.42,0.42,0.29,0.28,0.54,{},"('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_average_majority
34,0.37,0.4,0.4,0.26,0.36,0.49,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",openness_average_majority
43,0.36,0.41,0.41,0.29,0.24,0.54,{},"('liwc', 'nrc', 'mpqa_arg', 'lemma')",openness_average_majority
27,0.36,0.41,0.41,0.27,0.29,0.54,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",openness_average_majority
48,0.36,0.41,0.41,0.3,0.27,0.52,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_average_majority
17,0.36,0.42,0.42,0.22,0.31,0.56,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",openness_average_majority
59,0.36,0.4,0.4,0.19,0.37,0.51,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
36,0.35,0.38,0.38,0.25,0.32,0.47,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",openness_average_majority
61,0.35,0.38,0.38,0.29,0.29,0.48,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
33,0.35,0.39,0.39,0.29,0.26,0.5,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",openness_average_majority
38,0.35,0.41,0.41,0.22,0.28,0.55,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_average_majority
1,0.35,0.36,0.36,0.31,0.3,0.44,"{'C': 1, 'class_weight': 'balanced'}","('nrc',)",openness_average_majority
6,0.35,0.35,0.35,0.31,0.34,0.38,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc')",openness_average_majority
54,0.35,0.38,0.38,0.24,0.32,0.47,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
10,0.35,0.42,0.42,0.21,0.28,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'lemma')",openness_average_majority
53,0.35,0.37,0.37,0.26,0.3,0.47,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",openness_average_majority
52,0.35,0.4,0.4,0.29,0.24,0.53,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_average_majority
23,0.35,0.37,0.37,0.28,0.33,0.44,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",openness_average_majority
13,0.35,0.37,0.37,0.27,0.33,0.46,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'adu')",openness_average_majority
49,0.35,0.41,0.41,0.23,0.27,0.55,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",openness_average_majority
58,0.34,0.38,0.38,0.21,0.31,0.49,{},"('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",openness_average_majority
31,0.34,0.37,0.37,0.23,0.3,0.48,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_average_majority
62,0.34,0.37,0.37,0.23,0.29,0.48,{},"('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
11,0.34,0.36,0.36,0.23,0.32,0.46,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",openness_average_majority
22,0.34,0.36,0.36,0.31,0.28,0.44,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",openness_average_majority
28,0.33,0.35,0.35,0.27,0.31,0.42,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",openness_average_majority
60,0.33,0.37,0.37,0.22,0.29,0.48,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_average_majority
46,0.33,0.37,0.37,0.2,0.3,0.48,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",openness_average_majority
12,0.33,0.35,0.35,0.27,0.26,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",openness_average_majority
51,0.33,0.35,0.35,0.25,0.32,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_average_majority
32,0.32,0.35,0.35,0.19,0.32,0.45,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",openness_average_majority
4,0.31,0.36,0.36,0.21,0.22,0.5,"{'C': 1, 'class_weight': 'balanced'}","('adu',)",openness_average_majority
9,0.31,0.32,0.32,0.24,0.3,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",openness_average_majority
21,0.31,0.34,0.34,0.2,0.25,0.46,{},"('liwc', 'nrc', 'mpqa_arg')",openness_average_majority
7,0.3,0.34,0.34,0.26,0.21,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",openness_average_majority
0,0.3,0.32,0.32,0.27,0.26,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",openness_average_majority
42,0.3,0.32,0.32,0.2,0.29,0.4,{},"('liwc', 'nrc', 'mpqa_arg', 'adu')",openness_average_majority
18,0.3,0.33,0.33,0.24,0.23,0.44,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",openness_average_majority
41,0.29,0.33,0.33,0.21,0.21,0.45,{},"('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_average_majority
56,0.29,0.31,0.31,0.2,0.26,0.4,{},"('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_average_majority
