sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('no_effect', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'challenging');('no_effect', 'challenging');('reinforcing', 'challenging');('reinforcing', 'challenging')
liwc_scores_analytic;False;False;0.7278942568450847;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.859028381903031;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.6084454176262597;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.31457592852088245;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.7779197261610813;False;;;False;;False;;False;
liwc_scores_categories_Comma;False;False;0.8983247544701157;False;;;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.09169893888800869;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.712494525165009;False;;;False;;False;;same values;same values
liwc_scores_categories_OtherP;False;False;0.382373046192777;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.8312939775785728;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.5595513818790327;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.3189726773107885;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.2859757326379046;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.5146612697810962;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.853857232083158;False;;F(2,195)= 0.16, p = 0.8538572, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_adverb;True;True;0.8085772009140808;False;;F(2,195)= 0.21, p = 0.8085772, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_affect;True;True;0.8250867830156057;False;;F(2,195)= 0.19, p = 0.8250868, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.40948504649413686;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.4987886151991815;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.7433124292374955;False;;;False;;False;;False;
liwc_scores_categories_article;True;True;0.240438737331749;False;;F(2,195)= 1.44, p = 0.2404387, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_assent;False;False;0.3503002926632964;False;;;False;;False;;False;
liwc_scores_categories_auxverb;True;True;0.7406323840906591;False;;F(2,195)= 0.30, p = 0.7406324, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_bio;False;False;0.19486319032696078;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.129183551161309;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.18571275315942276;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.40149071282102555;False;;;False;;False;;False;
liwc_scores_categories_cogproc;True;True;0.4664954978643904;False;;F(2,195)= 0.77, p = 0.4664955, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_compare;False;False;0.13545330672432648;False;;;False;;False;;False;
liwc_scores_categories_conj;True;True;0.9790697387759577;False;;F(2,195)= 0.02, p = 0.9790697, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_death;False;False;0.6214728531196326;False;;;False;;False;;False;
liwc_scores_categories_differ;True;True;0.775773056870284;False;;F(2,195)= 0.25, p = 0.7757731, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.8420995538968227;False;;;False;;False;;False;
liwc_scores_categories_drives;True;True;0.7591405385440646;False;;F(2,195)= 0.28, p = 0.7591405, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_family;False;False;0.892387784979025;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.5295665931880349;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.5777478821003619;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.5469832653641825;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.8188500442217718;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.1958760113141673;False;;;False;;False;;False;
