,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
10,0.42,0.64,0.64,0.21,0.26,0.78,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",extraversion_average_majority
50,0.42,0.58,0.58,0.24,0.29,0.72,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
5,0.4,0.58,0.58,0.19,0.3,0.72,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",extraversion_average_majority
29,0.4,0.57,0.57,0.2,0.3,0.71,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
40,0.39,0.58,0.58,0.24,0.22,0.73,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
62,0.38,0.59,0.59,0.15,0.25,0.74,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
30,0.38,0.6,0.6,0.17,0.23,0.75,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extraversion_average_majority
45,0.38,0.61,0.61,0.23,0.14,0.76,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
60,0.38,0.57,0.57,0.17,0.24,0.72,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
59,0.38,0.6,0.6,0.25,0.14,0.75,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
19,0.37,0.55,0.55,0.21,0.19,0.7,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extraversion_average_majority
17,0.37,0.6,0.6,0.17,0.17,0.75,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",extraversion_average_majority
24,0.37,0.56,0.56,0.23,0.18,0.72,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",extraversion_average_majority
58,0.37,0.57,0.57,0.15,0.24,0.73,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
20,0.36,0.57,0.57,0.13,0.23,0.72,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",extraversion_average_majority
55,0.36,0.57,0.57,0.19,0.17,0.73,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
14,0.35,0.52,0.52,0.18,0.19,0.68,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'lemma')",extraversion_average_majority
46,0.35,0.54,0.54,0.19,0.15,0.7,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",extraversion_average_majority
49,0.35,0.61,0.61,0.16,0.13,0.77,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
43,0.35,0.55,0.55,0.12,0.22,0.71,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",extraversion_average_majority
39,0.35,0.58,0.58,0.13,0.16,0.74,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",extraversion_average_majority
35,0.35,0.57,0.57,0.15,0.17,0.72,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
54,0.34,0.52,0.52,0.19,0.15,0.67,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",extraversion_average_majority
36,0.33,0.51,0.51,0.18,0.12,0.67,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",extraversion_average_majority
57,0.33,0.55,0.55,0.11,0.17,0.71,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
47,0.32,0.43,0.43,0.23,0.14,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extraversion_average_majority
26,0.32,0.43,0.43,0.19,0.21,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",extraversion_average_majority
28,0.32,0.43,0.43,0.24,0.13,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",extraversion_average_majority
38,0.32,0.55,0.55,0.08,0.16,0.72,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",extraversion_average_majority
9,0.31,0.41,0.41,0.23,0.12,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",extraversion_average_majority
