sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('challenging', 'no_effect');('challenging', 'no_effect');('challenging', 'reinforcing');('challenging', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'reinforcing')
adu_anecdote;False;False;0.5348655978020236;False;;;False;;False;;False;
adu_other;False;False;0.08992447404500717;False;;;False;;False;;False;
adu_statistics;False;False;0.050623222483990225;False;;;False;;False;;False;
adu_testimony;False;False;0.2929705145110819;False;;;False;;False;;False;
mpqa_arg_assessments;False;False;0.6123905611154528;False;;;False;;False;;False;
mpqa_arg_authority;False;False;0.579243028761198;False;;;False;;False;;False;
mpqa_arg_causation;False;False;0.24743042105829488;False;;;False;;False;;False;
mpqa_arg_conditionals;False;False;0.5606131996315393;False;;;False;;False;;False;
mpqa_arg_contrast;False;False;0.5827409249105868;False;;;False;;False;;False;
mpqa_arg_difficulty;False;False;0.2997996433473358;False;;;False;;False;;False;
mpqa_arg_doubt;False;False;0.04256294718064352;True;;;False;;True;0.03;False;
mpqa_arg_emphasis;False;False;0.01779698987204355;True;;;False;;True;-0.12;False;
mpqa_arg_generalization;False;False;0.05158584465474755;False;;;False;;False;;False;
mpqa_arg_inconsistency;False;False;0.9996603412839988;False;;;False;;False;;False;
mpqa_arg_lexicon_ratio;False;False;0.8921062312544612;False;;;False;;False;;False;
mpqa_arg_necessity;False;False;0.7621889528978839;False;;;False;;False;;False;
mpqa_arg_possibility;False;False;0.9500908216047317;False;;;False;;False;;False;
mpqa_arg_priority;False;False;0.05578281995894687;False;;;False;;False;;False;
mpqa_arg_rhetoricalquestion;False;False;0.3460713203690774;False;;;False;;False;;False;
mpqa_arg_structure;False;False;0.8943461999836112;False;;;False;;False;;False;
mpqa_arg_wants;False;False;0.5475459219537997;False;;;False;;False;;False;
mpqa_subjobg_obj;False;False;0.3892325296698305;False;;;False;;False;;False;
nrc_anger;False;False;0.12032801812835517;False;;;False;;False;;False;
nrc_anticipation;False;False;0.9875691527432466;False;;;False;;False;;False;
nrc_disgust;False;False;0.1415661754701077;False;;;False;;False;;False;
nrc_fear;False;False;0.03931842622136774;True;;;False;;False;;False;
nrc_joy;False;False;0.7402304246573641;False;;;False;;False;;False;
nrc_negative;False;False;0.11943103409711103;False;;;False;;False;;False;
nrc_positive;False;False;0.37024912752036815;False;;;False;;False;;False;
nrc_ratio;True;True;0.033286859113408104;True;low;F(2,780)= 3.42, p = 0.0332869, ω2 = 0.01;True;-0.1;True;-0.11;False;
nrc_sadness;False;False;0.05451906660862601;False;;;False;;False;;False;
nrc_surprise;False;False;0.08330872638158304;False;;;False;;False;;False;
nrc_trust;False;False;0.1587268527254396;False;;;False;;False;;False;
liwc_scores_analytic;False;False;0.7059935506410588;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.1422520685856143;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.5318765370479127;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.9563957220875169;False;;;False;;False;;False;
