,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
46,0.43,0.51,0.51,0.33,0.31,0.64,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",openness_high_majority
59,0.43,0.51,0.51,0.35,0.31,0.64,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
54,0.43,0.52,0.52,0.36,0.28,0.65,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
36,0.42,0.49,0.49,0.34,0.28,0.63,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",openness_high_majority
24,0.41,0.48,0.48,0.28,0.35,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",openness_high_majority
30,0.41,0.52,0.52,0.3,0.28,0.66,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",openness_high_majority
20,0.41,0.5,0.5,0.3,0.27,0.65,"{'C': 10, 'class_weight': 'balanced'}","('adu', 'lemma')",openness_high_majority
14,0.41,0.49,0.49,0.31,0.31,0.61,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",openness_high_majority
52,0.4,0.46,0.46,0.32,0.29,0.58,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_high_majority
35,0.4,0.48,0.48,0.32,0.29,0.61,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",openness_high_majority
29,0.39,0.47,0.47,0.24,0.32,0.61,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",openness_high_majority
55,0.39,0.46,0.46,0.31,0.26,0.59,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
62,0.39,0.46,0.46,0.31,0.26,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
5,0.39,0.48,0.48,0.27,0.25,0.64,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",openness_high_majority
10,0.38,0.46,0.46,0.26,0.27,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",openness_high_majority
43,0.38,0.46,0.46,0.27,0.26,0.59,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",openness_high_majority
17,0.38,0.45,0.45,0.26,0.3,0.59,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",openness_high_majority
58,0.38,0.46,0.46,0.3,0.24,0.59,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",openness_high_majority
19,0.38,0.49,0.49,0.29,0.22,0.64,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",openness_high_majority
45,0.38,0.46,0.46,0.29,0.23,0.61,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",openness_high_majority
61,0.38,0.46,0.46,0.33,0.24,0.59,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
57,0.38,0.46,0.46,0.33,0.21,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_high_majority
38,0.37,0.46,0.46,0.26,0.23,0.61,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_high_majority
39,0.37,0.45,0.45,0.26,0.24,0.59,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",openness_high_majority
48,0.37,0.46,0.46,0.23,0.25,0.62,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_high_majority
50,0.37,0.46,0.46,0.22,0.26,0.61,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
53,0.36,0.44,0.44,0.29,0.23,0.57,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",openness_high_majority
33,0.36,0.43,0.43,0.29,0.24,0.55,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",openness_high_majority
23,0.35,0.39,0.39,0.25,0.29,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",openness_high_majority
60,0.35,0.44,0.44,0.22,0.24,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
26,0.34,0.41,0.41,0.19,0.28,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",openness_high_majority
49,0.34,0.43,0.43,0.23,0.22,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",openness_high_majority
56,0.34,0.39,0.39,0.21,0.3,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_high_majority
27,0.34,0.42,0.42,0.2,0.24,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",openness_high_majority
42,0.34,0.39,0.39,0.2,0.27,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",openness_high_majority
40,0.34,0.45,0.45,0.25,0.17,0.61,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",openness_high_majority
47,0.33,0.4,0.4,0.19,0.27,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_high_majority
41,0.32,0.37,0.37,0.21,0.27,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_high_majority
3,0.31,0.44,0.44,0.14,0.15,0.63,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg',)",openness_high_majority
7,0.31,0.39,0.39,0.14,0.24,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",openness_high_majority
44,0.31,0.35,0.35,0.22,0.24,0.46,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",openness_high_majority
25,0.31,0.38,0.38,0.14,0.24,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",openness_high_majority
37,0.31,0.37,0.37,0.21,0.22,0.51,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",openness_high_majority
21,0.3,0.33,0.33,0.18,0.27,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",openness_high_majority
22,0.3,0.34,0.34,0.21,0.26,0.45,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",openness_high_majority
13,0.3,0.32,0.32,0.27,0.25,0.38,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu')",openness_high_majority
11,0.29,0.32,0.32,0.25,0.2,0.41,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",openness_high_majority
9,0.29,0.34,0.34,0.17,0.22,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",openness_high_majority
32,0.29,0.35,0.35,0.17,0.21,0.5,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",openness_high_majority
28,0.29,0.35,0.35,0.19,0.19,0.49,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",openness_high_majority
51,0.28,0.33,0.33,0.18,0.18,0.48,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_high_majority
0,0.28,0.32,0.32,0.17,0.22,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",openness_high_majority
18,0.28,0.36,0.36,0.22,0.09,0.52,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",openness_high_majority
8,0.28,0.32,0.32,0.2,0.2,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",openness_high_majority
4,0.28,0.35,0.35,0.2,0.12,0.5,"{'C': 10, 'class_weight': 'balanced'}","('adu',)",openness_high_majority
34,0.27,0.29,0.29,0.21,0.22,0.37,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",openness_high_majority
1,0.27,0.3,0.3,0.22,0.2,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc',)",openness_high_majority
16,0.27,0.33,0.33,0.17,0.17,0.49,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",openness_high_majority
12,0.27,0.3,0.3,0.24,0.18,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",openness_high_majority
6,0.27,0.3,0.3,0.15,0.25,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc')",openness_high_majority
15,0.26,0.31,0.31,0.1,0.21,0.46,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",openness_high_majority
31,0.26,0.29,0.29,0.18,0.17,0.42,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_high_majority
2,0.25,0.3,0.3,0.11,0.21,0.43,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",openness_high_majority
