,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
20,0.41,0.44,0.44,0.3,0.53,0.4,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",openness_low_majority
14,0.39,0.42,0.42,0.28,0.5,0.39,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",openness_low_majority
40,0.39,0.43,0.43,0.24,0.51,0.41,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
36,0.39,0.42,0.42,0.28,0.49,0.4,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",openness_low_majority
5,0.39,0.42,0.42,0.29,0.51,0.38,"{'C': 100, 'class_weight': 'balanced'}","('lemma',)",openness_low_majority
50,0.38,0.42,0.42,0.21,0.51,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
19,0.38,0.42,0.42,0.23,0.52,0.39,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",openness_low_majority
30,0.37,0.41,0.41,0.24,0.47,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",openness_low_majority
55,0.37,0.39,0.39,0.28,0.45,0.37,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
54,0.36,0.4,0.4,0.23,0.49,0.36,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
35,0.36,0.39,0.39,0.23,0.48,0.36,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",openness_low_majority
46,0.36,0.4,0.4,0.24,0.48,0.37,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",openness_low_majority
48,0.35,0.38,0.38,0.23,0.42,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_low_majority
29,0.35,0.4,0.4,0.18,0.47,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",openness_low_majority
24,0.35,0.38,0.38,0.22,0.44,0.39,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",openness_low_majority
33,0.34,0.36,0.36,0.24,0.42,0.36,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",openness_low_majority
45,0.34,0.37,0.37,0.21,0.44,0.37,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",openness_low_majority
57,0.34,0.38,0.38,0.17,0.43,0.42,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_low_majority
51,0.34,0.37,0.37,0.16,0.45,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_low_majority
59,0.34,0.37,0.37,0.22,0.43,0.37,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
61,0.34,0.38,0.38,0.17,0.45,0.41,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
27,0.34,0.37,0.37,0.24,0.41,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",openness_low_majority
23,0.34,0.37,0.37,0.19,0.45,0.39,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",openness_low_majority
32,0.33,0.36,0.36,0.17,0.43,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",openness_low_majority
38,0.33,0.37,0.37,0.19,0.44,0.38,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_low_majority
39,0.33,0.35,0.35,0.22,0.42,0.34,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",openness_low_majority
49,0.33,0.35,0.35,0.21,0.39,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",openness_low_majority
18,0.33,0.35,0.35,0.25,0.4,0.35,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",openness_low_majority
17,0.33,0.37,0.37,0.19,0.41,0.39,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",openness_low_majority
10,0.33,0.37,0.37,0.17,0.44,0.36,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",openness_low_majority
26,0.32,0.34,0.34,0.18,0.41,0.37,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",openness_low_majority
11,0.32,0.34,0.34,0.19,0.37,0.41,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",openness_low_majority
9,0.32,0.35,0.35,0.17,0.43,0.36,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",openness_low_majority
43,0.32,0.35,0.35,0.17,0.42,0.36,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",openness_low_majority
58,0.32,0.35,0.35,0.18,0.42,0.35,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",openness_low_majority
4,0.32,0.34,0.34,0.26,0.41,0.29,"{'C': 10, 'class_weight': 'balanced'}","('adu',)",openness_low_majority
2,0.32,0.34,0.34,0.23,0.37,0.37,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",openness_low_majority
31,0.32,0.34,0.34,0.18,0.38,0.4,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_low_majority
53,0.31,0.35,0.35,0.17,0.42,0.35,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",openness_low_majority
42,0.31,0.33,0.33,0.18,0.34,0.39,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",openness_low_majority
62,0.31,0.35,0.35,0.17,0.42,0.34,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
16,0.31,0.33,0.33,0.18,0.4,0.35,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",openness_low_majority
12,0.31,0.34,0.34,0.15,0.43,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",openness_low_majority
37,0.31,0.34,0.34,0.14,0.4,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",openness_low_majority
52,0.3,0.34,0.34,0.16,0.41,0.34,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",openness_low_majority
60,0.3,0.32,0.32,0.14,0.42,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",openness_low_majority
56,0.3,0.32,0.32,0.18,0.33,0.39,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_low_majority
28,0.3,0.33,0.33,0.13,0.43,0.34,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",openness_low_majority
15,0.3,0.31,0.31,0.2,0.33,0.36,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",openness_low_majority
6,0.29,0.33,0.33,0.18,0.46,0.24,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc')",openness_low_majority
13,0.29,0.32,0.32,0.13,0.39,0.36,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'adu')",openness_low_majority
41,0.29,0.32,0.32,0.14,0.43,0.3,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",openness_low_majority
21,0.29,0.31,0.31,0.12,0.39,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",openness_low_majority
22,0.29,0.31,0.31,0.19,0.41,0.28,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",openness_low_majority
25,0.29,0.31,0.31,0.11,0.44,0.3,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",openness_low_majority
47,0.29,0.32,0.32,0.14,0.38,0.34,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",openness_low_majority
1,0.29,0.31,0.31,0.1,0.41,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc',)",openness_low_majority
34,0.29,0.32,0.32,0.17,0.42,0.29,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",openness_low_majority
8,0.28,0.29,0.29,0.17,0.35,0.31,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",openness_low_majority
7,0.28,0.3,0.3,0.16,0.32,0.37,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",openness_low_majority
44,0.28,0.32,0.32,0.12,0.4,0.33,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",openness_low_majority
0,0.26,0.27,0.27,0.17,0.31,0.28,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",openness_low_majority
3,0.19,0.19,0.19,0.12,0.23,0.21,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg',)",openness_low_majority
